ID,Year,Authors,Date,Completion,Study site,Latitude,Longitude,Lat zone,Ocean Basin,Study environment,Age of reef,Age category,Substrate type,Rugosity,Vertical relief,Openings,Material type,Shape of reef,General Reef Type,Specific Reef Type,Experimental group,N,Size of reef,Size of reef units,Control pre or post AR,Size of plot ,Plot size units,Volume of plot,Depth,Depth units,Distance offshore,Distance offshore units,Purpose of reef,Method of data collection,Month,Season,Averageable,Duration,Fish Abundance,Abundance units,Abundance upper error,Abundance lower error,Abundance SE,Abundance SD,Abundance error type,Fish Biomass,Biomass units,Biomass upper error,Biomass lower error,Biomass SE,Biomass SD,Biomass error type,Fish Species Richness,Species Richness units,Species richness upper error,Species richness lower error,Species richness SE,Species richness SD,Species richness error type,Paper conclusion,Number of metrics
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,58.01885207,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.047945171,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,147.1697935,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.099315035,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,90.56601431,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.219178051,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,113.2075584,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.304794491,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,159.9055574,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.400684878,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,142.9245209,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.578767099,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,165.5660649,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.006849298,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,165.5660649,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.434931497,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,193.8679545,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.770548046,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,166.9810298,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.205479456,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,130.1887029,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.787671508,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,100.4716865,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.160958977,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,168.3962107,number of fish,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.020547937,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,125.9433763,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.051369777,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,161.3207383,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.099315035,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,155.6603928,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.222602657,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,141.509448,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.301369755,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,208.0188993,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.397260272,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,217.9245175,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.575342493,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,212.264172,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.006849298,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,227.8301896,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.417808209,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,202.3584998,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.722602787,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,244.8113342,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.297945106,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,161.3207383,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.784246641,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,152.830085,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.15753411,New,Sand,High rugosity,Low vertical relief,No openings,Concrete,Cube,Non-designed ,Armorflex -220 with transplanted corals,Experimental,3,7.5,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,215.0943717,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.054794513,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,87.73586854,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.102739641,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,67.92441626,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.304794491,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,106.132086,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.407534219,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,65.09432447,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,0.582191704,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,76.41506951,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.017123375,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,111.7924315,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.431506892,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,72.16979687,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,1.753424758,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,94.81134093,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.325342471,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,45.28298016,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,2.787671508,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,52.35845256,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,3.164383843,New,Sand,Low rugosity,Low vertical relief,No openings,Metal,Fence,Non-designed ,Chain link fence,Experimental,3,0.18795,m3,NA,50,m2,50,1.15,m,2.4,km,Research,Underwater visual census,,,,,62.26412472,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,33.9622891,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,25.47163586,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,15.56601768,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,18.39616346,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,22.64149008,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,9.905618172,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,24.05656297,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,22.64149008,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,16.98109057,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,19.81134431,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,15.56601768,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,16.98109057,,,,,0,,,,,,,0,,,,,,,0,,,1
19,1999,,,Y,,4.20266,73.50592,,Indian Ocean,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,3,0,m3,NA,50,m2,50,1.15,m,2.4,km,Natural,Underwater visual census,,,,,18.39616346,,,,,0,,,,,,,0,,,,,,,0,,,1
20,1989,,,Y,,47.7237,-122.4713,,North Pacific,Offshore,NA,Established,Sand,High rugosity,Low vertical relief,No openings,Rock,Rubble,Rubble and rocks,Rocky bottom,NA,7,NA,m3,NA,100,m2,100,12.2,m,1,km,Natural,Underwater visual census,,,,,10.5,,,,,0,,,,,,,0,,,,,,,0,,,1
20,1989,,,Y,,47.7237,-122.4713,,North Pacific,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,7,NA,m3,NA,100,m2,100,12.2,m,1,km,Natural,Underwater visual census,,,,,5.1,,,,,0,,,,,,,0,,,,,,,0,,,1
20,1989,"Hueckel, Buckley, et al",5/5/2023,Y,"Puget Sound, Washington ",47.7237,-122.4713,,North Pacific,Offshore,2,New,Sand,Low rugosity,High vertical relief,No openings,Rock,Boulders,Rubble and rocks,Bolder ,Experimental,14,8610,m3,NA,100,m2,100,12.2,m,1,km,Mitigation,Underwater visual census,,,,,344.3,,,,,0,,,,,,,0,,,,,,,0,,,1
21,2023,"Dickson, Franken, et al",9/22/2024,Y,"Wadden Sea, Netherland",53.296,5.0683,,North Atlantic,Offshore,,New,Sand,High rugosity,High vertical relief,With openings,Wood,Pyramid,Designed reefs,Pear tree,Experimental,8,3,m3,NA,1,m2,1,3,m,NA,NA,Research,Fish traps,,,,,9.032257,number of fish,21.9355,1.83871,0.465548323,0.164596188,1.5 interquartile range,,,,,,0,,,,,,,0,,,1
21,2023,,,Y,,53.296,5.0683,,North Atlantic,Offshore,NA,Established,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,8,3,m3,NA,1,m2,1,3,m,NA,NA,Natural,Fish traps,,,,,2.03226,number of fish,6.03226,0.70968,0.123299203,0.043592851,1.5 interquartile range,,,,,,0,,,,,,,0,,,1
22,2023,"Knoester, Rienstra, et al",9/22/2024,Y,"Wasini Island, Kenya ",-4.659,39.381,,Indian Ocean,Offshore,,,Rocks,High rugosity,Low vertical relief,No openings,,,Designed reefs,Concrete disk with glass bottles,Experimental,10,16,m3,,1,m2,1,8,,,,Research,Underwater visual census,,,,,0.4513,,0.57362,0.33105,0.12232,0.03868098,SE,38.019,,47.5426,29.0765,9.5236,3.011626752,SE,21.833,,23.0435,20.58824,1.2105,0.382793711,SE,,
22,2023,,,Y,,-4.659,39.381,,Indian Ocean,Offshore,,,Rocks,Low rugosity,High vertical relief,With openings,,,Non-designed ,Metal cage,Experimental,10,16,m3,,1,m2,1,8,,,,Research,Underwater visual census,,,,,1.1557,,1.4693,0.84797,0.3136,0.099169027,SE,67.608,,84.5441,50.48065,16.9361,5.355665068,SE,22.8796,,24.1176,21.6113,1.238,0.391489974,SE,,
22,2023,,,Y,,-4.659,39.381,,Indian Ocean,Offshore,,,Rocks,High rugosity,Low vertical relief,With openings,Concrete,Layered,Designed reefs,Layered cake,Experimental,10,16,m3,,1,m2,1,8,,,,Research,Underwater visual census,,,,,0.7135,,0.91246,0.52661,0.19896,0.062916676,SE,50.699,,64.16403,38.31187,13.46503,4.258016356,SE,21.7801,,23.0435,20.4859,1.2634,0.39952216,SE,,
22,2023,,,Y,,-4.659,39.381,,Indian Ocean,Offshore,,,Rocks,High rugosity,High vertical relief,With openings,Concrete,,Designed reefs,"Combination bottle, cage, and layered",Experimental,10,16,m3,,1,m2,1,8,,,,Research,Underwater visual census,,,,,0.6718,,0.84797,0.4954,0.17617,0.055709846,SE,75.8578,,95.3162,56.91258,19.4584,6.153286362,SE,23.7173,,24.9872,22.4808,1.2699,0.40157764,SE,,
22,2023,,,Y,,-4.659,39.381,,Indian Ocean,Offshore,,,Rocks,Control,Control,Control,Natural,Natural,Bare,Bare rock,Control,10,16,m3,,1,m2,1,8,,,,Natural,Underwater visual census,,,,,0.098,,0.12159,0.07103,0.02359,0.007459813,SE,7.5858,,9.41799,5.75992,1.83219,0.579389351,SE,13.2984,,14.5013,11.893,1.2029,0.38039038,SE,,
23,2022,"Yuan, Chen, et al",9/22/2024,Y,"Daya Bay, China",22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Trawl net,November,,X,,,,,,,0,,,,,,,0,,22,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Trawl net,November,,X,,,,,,,0,,,,,,,0,,11,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Gill net,November,,X,,,,,,,0,,,,,,,0,,15,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Gill net,November,,X,,,,,,,0,,,,,,,0,,10,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Trawl net,July,,X,,,,,,,0,,,,,,,0,,36,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Trawl net,July,,X,,,,,,,0,,,,,,,0,,36,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Gill net,July,,X,,,,,,,0,,,,,,,0,,17,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Gill net,July,,X,,,,,,,0,,,,,,,0,,8,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Trawl net,August,,X,,,,,,,0,,,,,,,0,,41,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Trawl net,August,,X,,,,,,,0,,,,,,,0,,30,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Gill net,August,,X,,,,,,,0,,,,,,,0,,20,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Gill net,August,,X,,,,,,,0,,,,,,,0,,9,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Trawl net,November,,X,,,,,,,0,,,,,,,0,,42,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Trawl net,November,,X,,,,,,,0,,,,,,,0,,26,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Gill net,November,,X,,,,,,,0,,,,,,,0,,22,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Gill net,November,,X,,,,,,,0,,,,,,,0,,8,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Trawl net,January,,X,,,,,,,0,,,,,,,0,,37,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Trawl net,January,,X,,,,,,,0,,,,,,,0,,27,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,With openings,Concrete,Cube,Designed reefs,Concrete cubes,Experimental,1829,45,m3,,1,m2,1,,,,,,Gill net,January,,X,,,,,,,0,,,,,,,0,,20,,,,,0,,,
23,2022,,,Y,,22.568,114.632,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,1829,45,m3,,1,m2,1,,,,,,Gill net,January,,X,,,,,,,0,,,,,,,0,,18,,,,,0,,,
24,2022,,,Y,,33.6925,-118.3974,,North Pacific,Offshore,,,Sand,Control,Control,Control,Natural,Natural,Bare,Bare sand,Control,34,,,,0.01,m2,100,,,,,,Underwater visual census,,,,,5.18,,8.08,2.28,1.479591837,0.253747907,CI,0.84,,1.17,0.51,0.168367347,0.028874762,CI,,,,,,0,,,
24,2022,"Williams, Williams, et al",9/22/2024,Y,"Palos Verdes, California",33.6925,-118.3974,,North Pacific,Offshore,,,Sand,Low rugosity,High vertical relief,No openings,Rock,Boulders,Rubble and rocks,Bolder ,Experimental,36,,,,0.01,m2,100,,,,,,Underwater visual census,,,,,94.7,,109.7,79.7,7.653061224,1.275510204,CI,6.11,,6.9,5.32,0.403061224,0.067176871,CI,,,,,,0,,,
